headline,date,link
INDIA STOCKS-Indian benchmarks may open flat; banks in focus after RBI's liquidity boost,08:12:45 22/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-may-open-flat-banks-in-focus-after-RBI-s-liquidity-boost-49669863/
Asian Equities Traded in the US as American Depositary Receipts Open Week Lower,08:14:07 21/04/2025 pm IST,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Open-Week-Lower-49666886/
"India's HDFC Bank, ICICI Bank close higher as quarterly earnings boost investor confidence",04:50:35 21/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-ICICI-Bank-close-higher-as-quarterly-earnings-boost-investor-confidence-49663673/
Indian benchmarks log biggest five-day gains in four years as financials rally,04:05:40 21/04/2025 pm IST,/quote/index/NIFTY-50-9743680/news/Indian-benchmarks-log-biggest-five-day-gains-in-four-years-as-financials-rally-49663573/
INDIA STOCKS-Indian benchmarks log biggest five-day gains in four years as financials rally,04:04:51 21/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-log-biggest-five-day-gains-in-four-years-as-financials-rally-49664984/
"Jefferies Adjusts HDFC Bank's Price Target to INR2,340 From INR2,120, Keeps at Buy",02:30:20 21/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Jefferies-Adjusts-HDFC-Bank-s-Price-Target-to-INR2-340-From-INR2-120-Keeps-at-Buy-49664441/
Emerging Asian currencies strengthen as Trump questions Fed,01:58:33 21/04/2025 pm IST,/quote/stock/ICICI-BANK-LIMITED-23672738/news/Emerging-Asian-currencies-strengthen-as-Trump-questions-Fed-49664355/
HDFC Bank's Consolidated Net Profit Rises in Fiscal Q4,11:23:07 21/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-s-Consolidated-Net-Profit-Rises-in-Fiscal-Q4-49663881/
"INDIA STOCKS-Financials prop up Indian shares amid strong earnings, weak dollar",10:54:12 21/04/2025 am IST,/quote/stock/INFOSYS-LIMITED-9743342/news/INDIA-STOCKS-Financials-prop-up-Indian-shares-amid-strong-earnings-weak-dollar-49663820/
Litigation Update | Exclusive Jurisdiction Clauses In Private Employment Contracts Upheld By Supreme Court,10:44:00 21/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Litigation-Update-Exclusive-Jurisdiction-Clauses-In-Private-Employment-Contracts-Upheld-By-Supreme-49731285/
"India's HDFC Bank, ICICI Bank close higher as quarterly earnings boost investor confidence",10:31:22 21/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-ICICI-Bank-close-higher-as-quarterly-earnings-boost-investor-confidence-49663773/
"India stocks, rupee, swaps, call at 10:05 a.m. IST",10:09:30 21/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/India-stocks-rupee-swaps-call-at-10-05-a-m-IST-49663746/
"India's ICICI Bank, HDFC Bank climb on upbeat quarterly results",09:23:11 21/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-ICICI-Bank-HDFC-Bank-climb-on-upbeat-quarterly-results-49663669/
"INDIA STOCKS-ICICI Bank, HDFC Bank lift Indian benchmarks at open after strong earnings",09:19:47 21/04/2025 am IST,/quote/stock/ICICI-BANK-LIMITED-23672738/news/INDIA-STOCKS-ICICI-Bank-HDFC-Bank-lift-Indian-benchmarks-at-open-after-strong-earnings-49663667/
"HDFC Bank Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2025",08:29:00 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Reports-Earnings-Results-for-the-Fourth-Quarter-and-Full-Year-Ended-March-31-2025-49662403/
"India's HDFC Bank sees loan-to-deposit ratio at 85%-90% by FY27, CFO says",06:41:50 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-sees-loan-to-deposit-ratio-at-85-90-by-FY27-CFO-says-49662339/
"India's HDFC Bank sees loan-to-deposit ratio at 85%-90% by FY27, CFO says",06:41:49 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-sees-loan-to-deposit-ratio-at-85-90-by-FY27-CFO-says-49662508/
"HDFC Bank Limited, Q4 2025 Earnings Call, Apr 19, 2025",06:00:00 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Transcript-HDFC-Bank-Limited-Q4-2025-Earnings-Call-Apr-19-2025-49662554/
"HDFC Bank : Financial Results for the quarter and year ended March 31, 2025.",03:54:16 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Financial-Results-for-the-quarter-and-year-ended-March-31-2025-49662351/
"HDFC Bank : Press Release to announce Financial Results for the quarter and year ended March 31, 2025.",03:54:15 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Press-Release-to-announce-Financial-Results-for-the-quarter-and-year-ended-March-31-202-49662350/
"HDFC Bank : Key Parameters Financial Results for the Quarter ended March 31, 2025.",03:54:15 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Key-Parameters-Financial-Results-for-the-Quarter-ended-March-31-2025-49662349/
HDFC Bank : Q4FY25 Earnings Presentation.,03:54:14 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Q4FY25-Earnings-Presentation-49662348/
HDFC Bank Limited Recommends Dividend for the Fiscal Year 2024-25,03:09:00 19/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Recommends-Dividend-for-the-Fiscal-Year-2024-25-49662362/
Asian Equities Traded in the US as American Depositary Receipts Surge in Thursday Trading,08:23:51 17/04/2025 pm IST,/quote/stock/NOAH-HOLDINGS-LIMITED-6840814/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Surge-in-Thursday-Trading-49649180/
Indian Indices Jump on Thursday as Bank Stocks Rally,04:16:37 17/04/2025 pm IST,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Jump-on-Thursday-as-Bank-Stocks-Rally-49645956/
INDIA STOCKS-Financials haul Indian stocks to best week in over 4 years,04:16:18 17/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Financials-haul-Indian-stocks-to-best-week-in-over-4-years-49645963/
HDFC Bank : Parivartan covers 298 border villages under rural development initiatives,02:24:08 17/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Parivartan-covers-298-border-villages-under-rural-development-initiatives-49644863/
Supreme Court Upholds Validity Of Exclusive Jurisdiction Clauses In Employment Contracts,01:44:07 17/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Supreme-Court-Upholds-Validity-Of-Exclusive-Jurisdiction-Clauses-In-Employment-Contracts-49644566/
"India stocks, rupee, swaps, call at 1:00 p.m. IST",01:10:41 17/04/2025 pm IST,/quote/currency/INDIAN-RUPEE-US-DOLLAR-IN-2373570/news/India-stocks-rupee-swaps-call-at-1-00-p-m-IST-49644340/
INDIA STOCKS-India stocks dip as IT drags after Wipro outlook; financials limit losses,10:45:30 17/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-stocks-dip-as-IT-drags-after-Wipro-outlook-financials-limit-losses-49640878/
Asian Equities Traded in the US as American Depositary Receipts Drop Sharply in Wednesday Trading,08:19:09 16/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-Sharply-in-Wednesday-Trading-49636413/
Asian Equities Traded in the US as American Depositary Receipts Sharply Higher in Tuesday Trading,08:25:08 15/04/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Sharply-Higher-in-Tuesday-Trading-49624872/
"Global markets live: BoA, Apple, Sika, Google, UBS…",07:56:45 15/04/2025 pm IST,/news/latest/Global-markets-live-BoA-Apple-Sika-Google-UBS--49624630/
INDIA STOCKS-India's Sensex erases post-tariff losses as Trump signals exemptions,03:35:52 15/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-Sensex-erases-post-tariff-losses-as-Trump-signals-exemptions-49621044/
India's Sensex erases post-tariff losses as Trump signals exemptions,03:35:52 15/04/2025 pm IST,/quote/index/NIFTY-50-9743680/news/India-s-Sensex-erases-post-tariff-losses-as-Trump-signals-exemptions-49616531/
India's HDFC Bank hits four-month high as deposit rate cut seen lifting margins,02:30:06 15/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-hits-four-month-high-as-deposit-rate-cut-seen-lifting-margins-49620368/
India's HDFC Bank hits four-month high as deposit rate cut seen lifting margins,02:11:13 15/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-hits-four-month-high-as-deposit-rate-cut-seen-lifting-margins-9012897/
INDIA STOCKS-Indian benchmarks set to erase post-tariff losses as Trump eases up,11:06:15 15/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-set-to-erase-post-tariff-losses-as-Trump-eases-up-49617358/
INDIA STOCKS-Indian shares open higher after US tariff exemptions spark global rebound,09:27:10 15/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-shares-open-higher-after-US-tariff-exemptions-spark-global-rebound-49616720/
Asian Equities Traded in the US as American Depositary Receipts Rise in Friday Trading,08:21:16 11/04/2025 pm IST,/quote/stock/DR-REDDY-S-LABORATORIES-L-6492671/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Friday-Trading-49600336/
INDIA STOCKS-Indian benchmarks rebound on U.S. tariff reprieve,10:32:54 11/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-rebound-on-U-S-tariff-reprieve-49592840/
Asian Equities Traded in the US as ADRs Ease in Wednesday Trading,08:03:08 09/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-ADRs-Ease-in-Wednesday-Trading-49575665/
"HDFC Bank : Comment on RBI Credit Policy by Ms. Sakshi Gupta, Principal Economist - HDFC Bank",05:16:05 09/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Comment-on-RBI-Credit-Policy-by-Ms-Sakshi-Gupta-Principal-Economist-HDFC-Bank-49573188/
Asian Equities Traded in the US as American Depositary Receipts Rebound Strongly in Tuesday Trading,08:08:26 08/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rebound-Strongly-in-Tuesday-Trading-49562177/
Asian Equities Traded in the US as American Depositary Receipts Sharply Lower in Monday Trading,08:20:18 07/04/2025 pm IST,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Sharply-Lower-in-Monday-Trading-49549524/
INDIA STOCKS-US tariffs trigger worst selloff in Indian markets in 10 months,07:45:22 07/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-US-tariffs-trigger-worst-selloff-in-Indian-markets-in-10-months-49549160/
HDFC Bank : was adjudged ‘India’s Best for HNW’ at Euromoney Private Banking Awards 2025,05:36:12 07/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-was-adjudged-India-s-Best-for-HNW-at-Euromoney-Private-Banking-Awards-2025-49547273/
INDIA STOCKS-Indian benchmarks log worst session in 10 months as trade war tumult intensifies,03:52:40 07/04/2025 pm IST,/quote/stock/RELIANCE-INDUSTRIES-LTD-9058833/news/INDIA-STOCKS-Indian-benchmarks-log-worst-session-in-10-months-as-trade-war-tumult-intensifies-49546073/
Indian Equities Plunge on Friday as Trump Signals Tariffs on Pharma Imports,04:15:12 04/04/2025 pm IST,/quote/index/NIFTY-500-9743679/news/Indian-Equities-Plunge-on-Friday-as-Trump-Signals-Tariffs-on-Pharma-Imports-49532860/
"INDIA STOCKS-Indian stocks end week lower as IT, commodity shares tank on recession fears",03:58:03 04/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-stocks-end-week-lower-as-IT-commodity-shares-tank-on-recession-fears-49532758/
INDIA STOCKS-Indian shares join global selloff as US tariffs trigger recession fears,11:00:01 04/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-shares-join-global-selloff-as-US-tariffs-trigger-recession-fears-49528860/
India's HDFC Bank says growth in quarterly deposits outpaces loans,10:01:19 03/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-says-growth-in-quarterly-deposits-outpaces-loans-49525299/
HDFC Bank Gross Advances Up 4% Q/Q At March-End,08:53:30 03/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Gross-Advances-Up-4-Q-Q-At-March-End-49524586/
HDFC Bank Limited Receives Warning Letter from Securities and Exchange Board of India,08:27:00 03/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Receives-Warning-Letter-from-Securities-and-Exchange-Board-of-India-49557272/
Asian Equities Traded in the US as American Depositary Receipts Fall in Thursday Trading,08:23:24 03/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Fall-in-Thursday-Trading-49524336/
Senores Pharmaceuticals Issues INR405.3 Million Corporate Guarantee for Subsidiary,02:15:49 03/04/2025 pm IST,/quote/stock/SENORES-PHARMACEUTICALS-L-180392054/news/Senores-Pharmaceuticals-Issues-INR405-3-Million-Corporate-Guarantee-for-Subsidiary-49519713/
"HDFC Bank : Honourable Chief Minister of Uttar Pradesh Shri Yogi Adityanath Inaugurates HDFC Bank’s Branch at Kashi Vishwanath Temple, Varanasi",03:30:00 03/04/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Honourable-Chief-Minister-of-Uttar-Pradesh-Shri-Yogi-Adityanath-Inaugurates-HDFC-Bank--49550380/
Asian Equities Traded in the US as American Depositary Receipts Trending Lower in Wednesday Trading,08:22:33 02/04/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Trending-Lower-in-Wednesday-Trading-49511105/
HDFC Bank Says SEBI Issues Administrative Warning Letter,08:11:09 02/04/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Says-SEBI-Issues-Administrative-Warning-Letter-49511051/
INDIA STOCKS-India's equity benchmarks edge higher; investors brace for US tariffs,03:51:29 02/04/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-equity-benchmarks-edge-higher-investors-brace-for-US-tariffs-49507348/
INDIA STOCKS-Indian benchmarks inch higher; caution prevails ahead of US tariffs,10:27:22 02/04/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-inch-higher-caution-prevails-ahead-of-US-tariffs-49503456/
Asian Equities Traded in the US as American Depositary Receipts Lower in Tuesday Trading,08:19:07 01/04/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Lower-in-Tuesday-Trading-49499271/
Asian Equities Traded in the US as American Depositary Receipts Drop in Monday Trading,08:23:30 31/03/2025 pm IST,/quote/stock/NOAH-HOLDINGS-LIMITED-6840814/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-in-Monday-Trading-49485759/
Asian Equities Traded in the US as American Depositary Receipts Drop Sharply in Friday Trading; Down 3.4% for Week,07:39:15 28/03/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-Sharply-in-Friday-Trading-Down-49467154/
Tata Neu HDFC Bank Credit Card Celebrates Milestone: Over 2 Million Cards Issued,05:03:07 28/03/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Tata-Neu-HDFC-Bank-Credit-Card-Celebrates-Milestone-Over-2-Million-Cards-Issued-49464984/
Reserve Bank of India Imposes Penalty of INR 7.5 Million on HDFC Bank Limited,03:47:00 28/03/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Reserve-Bank-of-India-Imposes-Penalty-of-INR-7-5-Million-on-HDFC-Bank-Limited-49467294/
"India's financial stocks fuel Nifty 50's March comeback, set for strong FY2026",01:48:07 28/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/India-s-financial-stocks-fuel-Nifty-50-s-March-comeback-set-for-strong-FY2026-49462358/
Asian Equities Traded in the US as American Depositary Receipts Higher in Thursday Trading,08:21:09 27/03/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Higher-in-Thursday-Trading-49454158/
"Indian banks' loan growth slows for eighth straight month in February, RBI data shows",05:02:08 27/03/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Indian-banks-loan-growth-slows-for-eighth-straight-month-in-February-RBI-data-shows-49451202/
"INDIA STOCKS-Profit-booking slams breaks on Indian stocks' rally, with tariffs looming",03:47:56 26/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Profit-booking-slams-breaks-on-Indian-stocks-rally-with-tariffs-looming-49436548/
INDIA STOCKS-India's benchmarks seen higher tracking Asian peers,08:14:06 26/03/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-benchmarks-seen-higher-tracking-Asian-peers-49432288/
Asian Equities Traded in the US as American Depositary Receipts Decline in Tuesday Trading,08:07:07 25/03/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Decline-in-Tuesday-Trading-49427902/
INDIA STOCKS-Indian benchmarks end little changed after six-session rally,03:45:59 25/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-end-little-changed-after-six-session-rally-49424099/
"INDIA STOCKS-Financials, IT lead Indian benchmarks higher on easing tariff fears, foreign buying",10:42:36 25/03/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Financials-IT-lead-Indian-benchmarks-higher-on-easing-tariff-fears-foreign-buying-49420315/
India's benchmarks set to rise as tariff threat eases,08:21:00 25/03/2025 am IST,/quote/index/NIFTY-50-9743680/news/India-s-benchmarks-set-to-rise-as-tariff-threat-eases-49419896/
Asian Equities Traded in the US as American Depositary Receipts Open Week Higher in Monday Trading,08:24:15 24/03/2025 pm IST,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Open-Week-Higher-in-Monday-Trading-49415911/
Jupiter Life Line Hospitals Enters Loan Agreement With HDFC Bank,08:04:50 24/03/2025 pm IST,/quote/stock/JUPITER-LIFE-LINE-HOSPITA-159212542/news/Jupiter-Life-Line-Hospitals-Enters-Loan-Agreement-With-HDFC-Bank-49415768/
Universal Autofoundry Limited Announces the Accounts in Operations Is Being Shifted from One Bank to Another,04:25:00 24/03/2025 pm IST,/quote/stock/UNIVERSAL-AUTOFOUNDRY-LIM-64309539/news/Universal-Autofoundry-Limited-Announces-the-Accounts-in-Operations-Is-Being-Shifted-from-One-Bank-to-49421391/
"INDIA STOCKS-India's Nifty 50 erases 2025 losses on FPI return, bargain buying",04:21:24 24/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-Nifty-50-erases-2025-losses-on-FPI-return-bargain-buying-49413256/
Asian Equities Traded in the US as American Depositary Receipts Decline in Thursday Trading,08:14:48 20/03/2025 pm IST,/quote/stock/JOYY-INC-11962799/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Decline-in-Thursday-Trading-49389570/
Popular Vehicles and Services Extends Corporate Guarantee,04:43:06 20/03/2025 pm IST,/quote/stock/POPULAR-VEHICLES-AND-SERV-167442732/news/Popular-Vehicles-and-Services-Extends-Corporate-Guarantee-49386836/
HDFC Bank : Government of India’s Senior Citizens’ Savings Scheme is Now Offered at HDFC Bank,11:15:05 19/03/2025 am IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Government-of-India-s-Senior-Citizens-Savings-Scheme-is-Now-Offered-at-HDFC-Bank-49369338/
Asian Equities Traded in the US as American Depositary Receipts Track Sharply Lower in Tuesday Trading,08:14:00 18/03/2025 pm IST,/quote/stock/JOYY-INC-11962799/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Track-Sharply-Lower-in-Tuesday-Tradi-49364335/
"INDIA STOCKS-India's benchmarks record best day in six weeks on bargain buying, global cues",04:07:30 18/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-benchmarks-record-best-day-in-six-weeks-on-bargain-buying-global-cues-49361233/
INDIA STOCKS-Indian shares rise as financials lead broad-based gains,10:33:11 17/03/2025 am IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-shares-rise-as-financials-lead-broad-based-gains-49346578/
"HDFC Bank Plans to Sell INR 10,280 Million Bad Loans Via Swiss Challenge Auction",08:37:00 13/03/2025 pm IST,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Plans-to-Sell-INR-10-280-Million-Bad-Loans-Via-Swiss-Challenge-Auction-49331283/
Asian Equities Traded in the US as American Depositary Receipts Rise in Wednesday Trading,08:19:12 12/03/2025 pm IST,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Wednesday-Trading-49314401/
INDIA STOCKS-Indian benchmarks end lower; IT index confirms bear market,04:08:36 12/03/2025 pm IST,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-end-lower-IT-index-confirms-bear-market-49311099/
